Fichero actualizado a fecha: 2019-03-07 03:11:01
Título;Descripción;Tag;FechaCreacion;FechaUltimaActualizacion;Frecuencia de actualización;Sector;Organismo responsable;AmbitoGeografico;Licencia;Formatos disponibles para descarga;EnlaceMasInformacion;Identificador;ultimaActualizacion;Enlace al contenido;
"Calidad del aire (por horas)";"<p>Datos de concentración de contaminantes registrados cada hora en las estaciones de control de la calidad del aire de la Junta de Castilla y León.</p>
<p><strong>El fichero con los datos en bloque de este dataset tiene un peso superior a 1 GB y por ese motivo se recomienda que</strong>:</p>";"Calidad del aire, medio ambiente, atmosfera, contaminación, horario";"20180626";;"Semestral";"medio-ambiente, salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XML";"http://servicios.jcyl.es/esco";1284808467480;20180907;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/calidad-aire-historico-horario/1284808467480";
"Cartografía del PRUG Sierra de Guadarrama";"<p>Cartografía del Plan Rector de Uso y Gestión (PRUG) del Parque Nacional de la Sierra de Guadarrama.</p>
<p>Cartografía elaborada para la redacción del borrador del Decreto por el que se aprueba en PRUG del Parque Nacional de la Sierra de Guadarrama.<br />
Incluye:</p>
<ol>
<li>Zonificación del espacio de acuerdo a los criterios del Plan Director de la Red de Parque Nacionales</li>
<li>Regulación de actividades de conformidad con los criterios del PRUG:
<ul>
<li>Red de viales en los que se permite el trásito de bicicletas o a caballo según regulación del PRUG del Parque Nacional Sierra de Guadarrama</li>
<li>Áreas donde se permite la escalada en roca según regulación del PRUG del Parque Nacional Sierra de Guadarrama</li>
<li>Áreas donde se permite la pernocta al raso según regulación del PRUG del Parque Nacional Sierra de Guadarrama</li>
</ul>
</li>
</ol>";"Zonas sujetas a ordenación, a restricciones o reglamentaciones y unidades de notificación";"20171227";;"Según necesidad";"medio-ambiente";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"WMS";"http://www.idecyl.jcyl.es/geonetwork";1284813428314;20180704;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/cartografia-sierra-guadarrama/1284813428314";
"Catálogo de carreteras de la red complementaria local";"<p>Catálogo de carreteras de la red complementaria local.</p>";"catálogo, carrereras, red complementaria local, bienes inmuebles, información patrimonial";"20171220";;"Anual";"transporte";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://carreterasytransportes.jcyl.es";1284771896277;20180327;"https://datosabiertos.jcyl.es/web/jcyl/set/es/transporte/carreteras-redcomplementarialocal/1284771896277";
"Catálogo de carreteras de la red complementaria preferente";"<p>Catálogo de carreteras de la red complementaria preferente.</p>";"catálogo, carrereras, red complementaria preferente, bienes inmuebles, información patrimonial";"20171220";;"Anual";"transporte";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://carreterasytransportes.jcyl.es";1284771894630;20180327;"https://datosabiertos.jcyl.es/web/jcyl/set/es/transporte/carreteras-redcomplementariapreferente/1284771894630";
"Catálogo de carreteras de la red básica";"<p>Catálogo de carreteras de la red básica.</p>";"catálogo, carrereras, red básica, bienes inmuebles, información patrimonial";"20171220";;"Anual";"transporte";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://carreterasytransportes.jcyl.es";1284771891310;20180327;"https://datosabiertos.jcyl.es/web/jcyl/set/es/transporte/carreteras-redbasica/1284771891310";
"Catálogo de carreteras sin clasificar";"<p>Catálogo de carreteras sin clasificar.</p>";"catálogo, carrereras, sin clasificar, bienes inmuebles, información patrimonial";"20171220";;"Anual";"transporte";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://carreterasytransportes.jcyl.es";1284771897981;20180327;"https://datosabiertos.jcyl.es/web/jcyl/set/es/transporte/carreteras-sinclasificar/1284771897981";
"Centros de tecnificación deportiva";"<p>Para la preparación y perfeccionamiento de deportistas destacados podrán crearse Centros de Tecnificación Deportiva de ámbito regional para una o varias especialidades deportivas.</p>
<p>La dirección técnica de los Centros de Tecnificación Deportiva corresponderá a las Federaciones Deportivas de Castilla y León respectivas. Su régimen de creación y su funcionamiento se establecerán reglamentariamente.</p>
<p>De cada centro de tecnificación se indica el correo electrónico y el teléfono de contacto además de un enlace a los deportistas y núcleos provinciales.</p>";"centros, tecnificación, deporte, deportiva";"20180614";;"Anual";"deporte";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://deporte.jcyl.es/web/jcyl/Deporte/es/Plantilla100/1284415426370/_/_/_";1284809246456;20180615;"https://datosabiertos.jcyl.es/web/jcyl/set/es/deporte/centros-tecnificacion-deportiva/1284809246456";
"Registro de Centros Especiales de Empleo";"<p>Listado de los Centros Especiales de Empleo registrados en la Comunidad Autónoma de Castilla y León.</p>";"centros especiales, empleo, registro, economía social";"20181212";;"Mensual";"economia";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://empresas.jcyl.es/web/jcyl/Empresas/es/Plantilla100/1284493639813/_/_/_";1284838746851;20181212;"https://datosabiertos.jcyl.es/web/jcyl/set/es/economia/centros-especiales/1284838746851";
"Registro de clubes deportivos";"<p>Relación de clubes deportivos de Castilla y León</p>";"deporte, clubes deportivos";"20181217";;"24 horas de lunes a viernes";"deporte";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://deporte.jcyl.es/web/jcyl/Deporte/es/Plantilla100/1284415419231/_/_/_";1284839616146;20181217;"https://datosabiertos.jcyl.es/web/jcyl/set/es/deporte/clubes-deportivos/1284839616146";
"API REST de consumo de servicios de la aplicación InfoRiego";"<p>El acceso a estos servicios está limitado y requiere la obtención previa de un apikey de desarrollador, solicite su clave de acceso enviando un mensaje a través de la <a href='http://www.itacyl.es/opencms_wf/opencms/contactar/index.html' title='' >página de contacto del ITACyL</a>.</p>";"consultas, API REST, inforiego, cultivos, riego";"20180605";;"Continua";"medio-rural-pesca";"Instituto Tecnológico Agrario (ITA)";"Castilla y León";"CC-BY";"JSON";"http://www.inforiego.org/opencms/opencms";1284807462534;20180813;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/consultas-inforiego/1284807462534";
"Consumo energético en edificios de la Junta de Castilla y León";"<p>Histórico de consumo de electricidad y gas desde 2016 en los edificios de la Junta de Castilla y León, organizados por Consejerías.</p>";"Consejería, suministros de electricidad, consumo de electricidad, suministros de gas, consumo de gas";"20180615";;"Anual";"energia";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://energia.jcyl.es";1284809639905;20180620;"https://datosabiertos.jcyl.es/web/jcyl/set/es/energia/consumo-energetico/1284809639905";
"Control Oficial de Productos Alimenticios - Provincias";"<p>Programa de investigación de residuos en productos de origen animal: el objetivo de este programa es garantizar que los productos de origen animal que se ponen en el mercado destinados al consumo humano no contengan residuos de medicamentos veterinarios o contaminantes medioambientales por encima de los límites legales, así como sustancias prohibidas. Para alcanzar este objetivo, se realiza la vigilancia de estas sustancias mediante un plan de muestreo y análisis establecido anualmente.</p>
<p>Las tomas de muestras se pueden llevar a cabo en el marco de dos subprogramas, un Subprograma de muestreo aleatorio&rdquo; en el que las muestras a tomar serán proporcionales al número de animales sacrificados y a las producciones del año precedente al de ejecución del Plan, y otro Programa de sospechosos&rdquo; llevado a cabo únicamente en aquellos productos procedentes de animales en los que se sospeche que han podido ser objeto de tratamientos ilegales, o de tratamientos que, si bien han utilizado sustancias autorizadas, no han respetado los tiempos de espera.</p>
<p>Este dataset muestra la distribución de las muestras entre estos dos programas.</p>";"salud pública, control oficial, productos alimenticios, alimentos, provincia";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/control-oficial-productos-alimenticios";1284839791602;20181221;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/productos-alimenticios-provincias/1284839791602";
"Control Oficial de Productos Alimenticios - Sector/Fase";"<p>Información sobre el número de establecimientos de productos alimenticios por sectores y fases, las visitas realizadas, la toma de muestras, los distintos tipos de incumplimientos con sus correspondientes expedientes y sanciones. Datos por Sector/Fase.</p>";"salud pública, control oficial, productos alimenticios, alimentos, sector, fase";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/control-oficial-productos-alimenticios";1284839792499;20181221;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/productos-alimenticios-sector/1284839792499";
"Registro de Convenios y Acuerdos de la Administración de Castilla y León";"<p>Convenios y acuerdos de colaboración inscritos en el Registro General Electrónico de Convenios de la Administración de la Comunidad de Castilla y León regulado por el Decreto 66/2013, de 17 de octubre.</p>
<p>Se inscriben todos los acuerdos y convenios que suscriba la Administración de la Comunidad de Castilla y León y entidades de su sector público vinculado, con cualquier institución, administración o persona física o jurídica.</p>
<p>Otros enlaces de interés:</p>
<ul>
<li><a href='https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Tramite/1284147626479/Tramite' title='' >Acceso y consulta a los convenios inscritos en el Registro General Electrónico de Convenios de la Administración de la Comunidad de Castilla y León</a></li>
<li><a href='https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100/1284197362160/_/_/_' title='' >Información estadística sobre los convenios y acuerdos de colaboración registrados</a></li>
</ul>";"convenios, acuerdos, colaboración, Registro de Convenios";"20180209";;"24 horas de lunes a viernes";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.tramitacastillayleon.jcyl.es/web/jcyl/AdministracionElectronica/es/Plantilla100Detalle/1251181050732/Servicio/1283259423504/Tramite";1284782729555;20180220;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/convenios/1284782729555";
"Registro de Cooperativas";"<p>Relación de las cooperativas constituidas en la Comunidad Autónoma desde la entrada en vigor de la Ley 4/2002, o de fecha anterior y que tienen adaptados sus estatutos a la referida Ley.</p>";"sociedades, cooperativas, registro, economía social";"20181220";;"Mensual";"economia";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"http://empresas.jcyl.es/web/jcyl/Empresas/es/Plantilla100/1284248600366/_/_/_";1284839990550;20181219;"https://datosabiertos.jcyl.es/web/jcyl/set/es/economia/cooperativas/1284839990550";
"Cuadrícula minera de Castilla y León";"<p>Malla cartográfica que establece una subdivisión de áreas en base a cuadrículas como soporte para la elaboración del catastro minero de Castilla y León.</p>
<p>De acuerdo con la Ley 22/1973 de 21 de julio, de Minas, se crea una malla formada por cuadrículas geográficas que sirven de referencia para dar de alta derechos mineros. Cada derecho minero ha de verse ajustado a los vértices de dicha malla.</p>
<p>Se trata de una malla formada por elementos comprendidos entre dos paralelos y dos meridianos, cuya separación es de veinte segundos sexagesimales, que coinciden con grados y minutos enteros y con un número de segundos de veinte o cuarenta.</p>";"Sistema de cuadrículas geográficas";"20150211";;"Según necesidad";"energia";"Junta de Castilla y León";"Castilla y León";"IGCYL-NC";"SHP";"http://www.idecyl.jcyl.es/geonetwork";1284813456589;20180905;"https://datosabiertos.jcyl.es/web/jcyl/set/es/energia/cuadricula-minera-cyl/1284813456589";
"Datos de aguas de acceso libre sin muerte de ciprínidos - 2015";"<p>Listado de las disposiciones específicas para aguas de acceso libre sin muerte de ciprínidos de Castilla y León en el año 2015.</p>
<p>Puede consultar el listado de cotos de pesca, escenarios deportivo-sociales, aguas en régimen especial y refugios de pesca de la Comunidad de Castilla y León con sus correspondientes planes de pesca en el conjunto de datos <a href='https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/tramos-pesca/1284845540834' title='' >Tramos con Planes de Pesca</a>";"Pesca, medio ambiente, cotos, aguas, acceso, libre, sin muerte, ciprínidos, reglamentación, disposiciones";"20150304";;"Anual";"medio-rural-pesca";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/web/jcyl/MedioAmbiente/es/Plantilla100/1144330344081/_/_/_";1284392895613;20190207;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/datos_ALSMC/1284392895613";
"Datos de otras masas de aguas en régimen especial (ARE) - 2015";"<p>Listado de las disposiciones específicas para otras masas de aguas en régimen especial (ARE) de Castilla y León en el año 2015.</p>
<p>Puede consultar el listado de cotos de pesca, escenarios deportivo-sociales, aguas en régimen especial y refugios de pesca de la Comunidad de Castilla y León con sus correspondientes planes de pesca en el conjunto de datos <a href='https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/tramos-pesca/1284845540834' title='' >Tramos con Planes de Pesca</a>";"Pesca, medio ambiente, cotos, ARE, aguas, régimen, especial, reglamentación, disposiciones";"20150304";;"Anual";"medio-rural-pesca";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/web/jcyl/MedioAmbiente/es/Plantilla100/1144330344081/_/_/_";1284392892916;20190207;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/datos_ARE/1284392892916";
"Datos de las aguas en régimen especial controlado (AREC) - 2015";"<p>Listado de las disposiciones específicas para las aguas en régimen especial controlado (AREC) de Castilla y León en el año 2015.</p>
<p>Puede consultar el listado de cotos de pesca, escenarios deportivo-sociales, aguas en régimen especial y refugios de pesca de la Comunidad de Castilla y León con sus correspondientes planes de pesca en el conjunto de datos <a href='https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/tramos-pesca/1284845540834' title='' >Tramos con Planes de Pesca</a>";"Pesca, medio ambiente, cotos, AREC, aguas, régimen, especial, controlado, reglamentación, disposiciones";"20150304";;"Anual";"medio-rural-pesca";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/web/jcyl/MedioAmbiente/es/Plantilla100/1144330344081/_/_/_";1284392891091;20190207;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/datos_AREC/1284392891091";
"Datos básicos de elecciones a las Cortes";"<p>Información sobre la estructura del sistema electoral desde el año 1983: población, procuradores, municipios, mesas, censo y censo CERA.</p>";"elecciones, datos básicos, cortes";"20190128";;"Cada 4 años";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/elecciones";1284845547900;20190129;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/datos-basicos-elecciones/1284845547900";
"Datos de los cotos de pesca - 2013-2015";"<p>Listado de las disposiciones específicas para los cotos de pesca en la comunidad de Castilla y León para los años 2013, 2014 y 2015.</p>
<p>Puede consultar el listado de cotos de pesca, escenarios deportivo-sociales, aguas en régimen especial y refugios de pesca de la Comunidad de Castilla y León con sus correspondientes planes de pesca en el conjunto de datos <a href='https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/tramos-pesca/1284845540834' title='' >Tramos con Planes de Pesca</a>";"Pesca, medio ambiente, cotos, disposiciones, reglamentación, salmónidos, ciprínidos";"20130627";;"Anual";"medio-rural-pesca";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/web/jcyl/MedioAmbiente/es/Plantilla100/1144330344081/_/_/_";1284275456672;20190207;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/datos_cotos_de_pesca/1284275456672";
"Datos de los escenarios deportivo-sociales - 2013-2015";"<p>Listado de las disposiciones específicas para los escenarios deportivo-sociales de Castilla y León en los años 2013, 2014 y 2015.</p>
<p>Puede consultar el listado de cotos de pesca, escenarios deportivo-sociales, aguas en régimen especial y refugios de pesca de la Comunidad de Castilla y León con sus correspondientes planes de pesca en el conjunto de datos <a href='https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/tramos-pesca/1284845540834' title='' >Tramos con Planes de Pesca</a>";"Pesca, medio ambiente, cotos, escenarios deportivo-sociales, reglamentación, disposiciones";"20130627";;"Anual";"medio-rural-pesca";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/web/jcyl/MedioAmbiente/es/Plantilla100/1144330344081/_/_/_";1284275457764;20190207;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/datos_EDS/1284275457764";
"Datos Generales del Sistema Universitario de Castilla y León";"<p>Datos Generales del Sistema Universitario de Castilla y León. Datos desde el curso 2011-2012<br />
No se dispone de los datos correspondientes tanto al personal docente e investigador como personal de administración y servicios de las Universidades Privadas que forman parte del Sistema Universitario de Castilla y León.</p>";"estadistica, datos generales, universidades";"20171220";;"Anual";"educacion";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"www.educa.jcyl.es/universidad/es/estadistica-universitaria-castilla-leon";1284771917628;20180116;"https://datosabiertos.jcyl.es/web/jcyl/set/es/educacion/datos-generales-universidades/1284771917628";
"Datos por Campus Universidades Privadas";"<p>Datos Generales de las Universidades Privadas de Castilla y León por campus. Datos desde el curso 2011-2012<br />
No se dispone de los datos correspondientes al número de alumnos que han accedido a las Universidades Privadas que forman parte del Sistema Universitario de Castilla y León.</p>";"estadistica, campus, universidades, privadas";"20171220";;"Anual";"educacion";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"www.educa.jcyl.es/universidad/es/estadistica-universitaria-castilla-leon";1284771923818;20180116;"https://datosabiertos.jcyl.es/web/jcyl/set/es/educacion/campus-universidades-privadas/1284771923818";
"Datos por Campus Universidades públicas";"<p>Datos Generales de las Universidades Públicas de Castilla y León por campus. Datos desde el curso 2011-2012.</p>";"estadistica, campus, universidades, públicas";"20171220";;"Anual";"educacion";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"www.educa.jcyl.es/universidad/es/estadistica-universitaria-castilla-leon";1284771923403;20180116;"https://datosabiertos.jcyl.es/web/jcyl/set/es/educacion/campus-universidades-publicas/1284771923403";
"Datos de los tramos libres sin muerte - 2013-2014";"<p>Listado de las disposiciones específicas para los tramos libres sin muerte en la comunidad de Castilla y León para los años 2013 y 2014.</p>
<p>Atendiendo a la normativa autonómica de pesca vigente, este tipo de aguas pasan a formar parte de otra clasificación y por ese motivo no se incorporarán datos del 2015 en adelante.</p>
<p>Puede consultar el listado de cotos de pesca, escenarios deportivo-sociales, aguas en régimen especial y refugios de pesca de la Comunidad de Castilla y León con sus correspondientes planes de pesca en el conjunto de datos <a href='https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/tramos-pesca/1284845540834' title='' >Tramos con Planes de Pesca</a>";"Pesca, medio ambiente, cotos, tramos libres sin muerte, reglamentación, disposiciones";"20130627";;"Anual";"medio-rural-pesca";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/web/jcyl/MedioAmbiente/es/Plantilla100/1144330344081/_/_/_";1284275457275;20190207;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-rural-pesca/datos_tlsm/1284275457275";
